state,w,b
000001000010000000000200001000000000002000100000020000203020210000002000001000100,2,0
000111000000010000000020000100020000112200001100020000000023100000010002000111000,0,1
000000100001000000020000000103000000110202211001020001002020000000010000000011000,2,0
001000100010000010100020100000203001102200200000022000100020001010010010001010100,0,1
001000100010000010100001001000000000000003001001000000000010201010000010001000100,0,1
001000100010000010100001001000002000100000201000020000103022000012200010001011000,0,1
000000000000000000000002000000000000110000300000010000000202000000000001000110000,1,0
000111000000010000000220000100020001110132211000000021000020000000010000100011000,0,2
000111000000100000000020200100020001112232011100020001000020000000010000000111000,0,2
000010000001000120000100000100230001112202211100020001000020000000010000000111000,2,0
000010000000010000002100000102201000110003001100011000000200000000011000000010000,0,2
000111000000100000000022200012000001112030011100220001000020000000001000010110000,0,2
000000000000000000000101000001010001110001001001300100000100000000010000000010000,0,2
000000002000010000011221100001020100002000000000200100103002010001000000011100000,0,2
000010000000000000000101000001000100112203001102001000020100000000010002000010000,0,2
000110000000010000000020000100020001112230211100020001000021000000010000000111000,0,2
100111000000010000000020000000020001112232211100002001000020000000010000000111000,2,0
000111000000000000010000010100200001102032201100220001010020000000000100000111000,2,0
100011000000010000000023000100020001112200001100020001000020000000010200000111000,1,0
000101000000000000022010000100132001112001011102110000000000000000000000000010000,0,2
000100100002000000020000310000000001111002211100020001000020000000010000000111000,0,1
000111000001000100010020010000202001100032001000201001000000000001000100000000000,0,1
000010000000010000000000100100000000010000001101030001000001000010000000200111010,0,1
001011000000000100010000010000002001000232010100020001010000002001000000000101200,2,0
000100012000000000000100100000030000110100011001002001000200200000010000000111000,0,1
001010000100000001100200200103000000012200200100020001000020000000012000000111000,0,2
000011000000000100010100020001020201001302011100000201000200002002010000000111000,0,1
001000100120000000103000010020100000011002211000020001000020000000010000000111000,0,1
001000100010000010100000001000000000000000000000002000100301000010000000001000100,0,1
000010000000000000000100000101001100012000101020200100013200000102010000000111000,2,0
000000100001200000020000000103000000110002211001020001002020000000010000000011000,2,0
000011000000000000000100020100030001112202211100020001000020000000010000000111000,2,1
000010000000000100000021000100200001100001000001010001200002010030000000010010000,1,0
010010100000000001002000010000032001112202201100020001000020000000010000001010100,2,0
010010000000010200000000020100020001102000001010020001010020003000202000001011000,1,0
001000100010000010000100001000300000000000000000000000101000101010000010001010100,0,1
000010000000010000000101000001002001100000211100322001000020000000010000002111000,0,1
100010110000010000000000200100020001112232201100020001000020000100000000000111000,2,0
001000020000000000013110000000000000001002211100020001002020000000010000000011000,0,2
000110000000000000101020100001221100000003210101000001200010100000010020000100000,0,1
000111010000010000000200000100020001112232201100020001000020000000010000000111000,2,2
000100001000000000000200000020100000100300011001100000002020000000000000000001000,0,1
010111010000010000100020000000020001102232201100020001000020000000010000000111000,1,0
000110000000010000000020000100020001112231011100022001000020000000010000000111000,2,2
000100102000010000000000100001231000110200011001020001000022000000010000000111000,0,1
001000000000010000003000010000010000110000001000100000002010100000000000000011000,0,1
000010000000010000000000000000001001110103011100020001000020200000200000000111000,0,2
000110100000010000000020000100220001112032211100200001000020000000010000000111000,0,2
000010000000000000000110100001001000000103011001020100000100000000000001000000000,0,1
100000011000010000000022000002200200010000000100000200000220000030000000100000011,2,0
000110000000010000000201000102000100112032011100220100000020000000010000000111000,2,2
001011000000000100200000000100020001102202211102010301010001002000000100000100000,0,2
000110100000000200020000000100032001002200011102000001000020000000000000010011000,2,0
002000000200000000001000100003010000002000000000000000010000010001000000000000000,0,2
001000000000010000001000000000100201100030211001200000010020000020000100000110000,0,2
